2022-08-26 19:30:37.922 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Starting JsonPayloadEncryptDecryptApplication using Java 18.0.2.1 on Rasto-HomePC with PID 7652 (C:\Users\Rasťo\Desktop\spring_json_payload_encryption\target\classes started by Rasťo in C:\Users\Rasťo\Desktop\spring_json_payload_encryption)
2022-08-26 19:30:37.978 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - No active profile set, falling back to 1 default profile: "default"
2022-08-26 19:30:38.708 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-08-26 19:30:38.721 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-08-26 19:30:38.722 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-08-26 19:30:38.723 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-26 19:30:38.792 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-08-26 19:30:38.792 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 777 ms
2022-08-26 19:30:39.024 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-08-26 19:30:39.041 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-08-26 19:30:39.049 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Started JsonPayloadEncryptDecryptApplication in 1.363 seconds (JVM running for 2.045)
2022-08-26 19:32:41.793 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Starting JsonPayloadEncryptDecryptApplication using Java 18.0.2.1 on Rasto-HomePC with PID 3260 (C:\Users\Rasťo\Desktop\spring_json_payload_encryption\target\classes started by Rasťo in C:\Users\Rasťo\Desktop\spring_json_payload_encryption)
2022-08-26 19:32:41.857 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - No active profile set, falling back to 1 default profile: "default"
2022-08-26 19:32:42.568 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-08-26 19:32:42.581 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-08-26 19:32:42.582 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-08-26 19:32:42.582 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-26 19:32:42.651 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-08-26 19:32:42.652 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 759 ms
2022-08-26 19:32:42.880 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-08-26 19:32:42.896 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-08-26 19:32:42.906 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Started JsonPayloadEncryptDecryptApplication in 1.359 seconds (JVM running for 2.037)
2022-08-26 19:46:48.441 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - Starting JsonPayloadEncryptDecryptApplication using Java 18.0.2.1 on Rasto-HomePC with PID 1268 (C:\Users\Rasťo\Desktop\spring_json_payload_encryption\target\classes started by Rasťo in C:\Users\Rasťo\Desktop\spring_json_payload_encryption)
2022-08-26 19:46:48.502 [main] INFO  jsonEncryption.JsonPayloadEncryptDecryptApplication - No active profile set, falling back to 1 default profile: "default"
2022-08-26 19:46:49.288 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-08-26 19:46:49.303 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-08-26 19:46:49.304 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-08-26 19:46:49.304 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
